SessionIdentity,hour_num,stage,BG_psd,key2_psd,key3_psd,n_epoch
02R_05-04-22,4.0,N1,0.0020467665,0.020658102,0.0062758117,334
02R_05-04-22,4.0,N2,0.0028009326,0.048997633,0.011733361,316
02R_05-04-22,4.0,REM,0.02399759,0.022487052,0.006562944,294
02R_05-04-22,5.0,N1,0.0029029255,0.016668478,0.0049473583,162
02R_05-04-22,5.0,N2,1.5345774,0.03906643,0.009003897,51
02R_05-05-22,0.0,N1,0.004915123,0.022843417,0.006873675,171
02R_05-05-22,0.0,N2,0.017251052,0.06715591,0.018218845,488
02R_05-05-22,0.0,N3,0.008757748,0.1506301,0.042300284,750
02R_05-05-22,1.0,N1,0.0038191583,0.04173301,0.010659999,87
02R_05-05-22,1.0,N2,0.0058630034,0.100741014,0.026297757,365
02R_05-05-22,1.0,N3,0.009842561,0.16520593,0.04351093,218
02R_05-05-22,1.0,REM,0.026400125,0.049658686,0.011673478,1066
02R_05-05-22,2.0,N1,0.00357947,0.039595164,0.010896968,158
02R_05-05-22,2.0,N2,0.042043805,0.08007731,0.021181908,753
02R_05-05-22,2.0,N3,0.008748602,0.14599745,0.03888284,696
02R_05-05-22,3.0,N1,0.0036112156,0.030258771,0.009566496,187
02R_05-05-22,3.0,N2,0.005263093,0.07367331,0.020436889,1488
02R_05-05-22,4.0,N1,0.0035196787,0.029260645,0.0072903424,142
02R_05-05-22,4.0,N2,0.0054006446,0.053252347,0.014192287,907
02R_05-05-22,4.0,REM,0.0050626425,0.038168423,0.009157546,268
02R_05-05-22,5.0,N1,0.0034910992,0.029404117,0.009228003,141
